0,1,e1,10
0,2,e1,10
0,3,e1,10
100,4,e1,10
200,3,e1,10
200,4,e1,10
400,1,e1,10
400,2,e1,10
500,3,e1,10
500,4,e1,10
600,2,e1,10
700,3,e1,10
700,4,e1,10
800,3,e1,10
900,2,e1,10
900,3,e1,10
900,4,e1,10
1100,3,e1,10
1100,4,e1,10
1400,2,e1,10
1400,3,e1,10
1400,4,e1,10
1500,1,e1,10
1500,2,e1,10
1500,3,e1,10
1600,3,p2,5
1700,1,e1,10
1900,2,p2,4
2200,2,e1,10
2200,3,e1,10
2200,4,e1,10
2400,3,p2,3
2600,1,e1,10
2600,2,e1,10
2600,3,e1,10
2700,3,p1,5
2800,2,e1,10
2900,2,e1,10
3000,2,e3,2000
